source,lang-source,author,license,sme-reviewed,premium,lang-source-dict,id
À terme échu,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,À l'expiration de la période concernée,f5463e0a-8df8-4146-939f-8c87ff5e9934
À terme échu (versement des pensions de retraite),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Après expiration de la période pour laquelle les droits à pension sont ouverts,54d21c38-7aa1-458e-b57b-8965bcf69739
À titre conservatoire,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Mesure d'urgence prise par précaution.,7ab95849-6ca8-43b6-b9bb-2ab9c810d147
À titre onéreux,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Qui est effectué contre paiement, qui impose des frais (contraire de ""à titre gratuit"").",c85a421f-5958-4b23-935b-7c96fdb22910
Abattement,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Somme forfaitaire déduite des revenus.,b84e983e-2434-45ed-ae69-5b17f073a59d
Abri (navigation),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Lieu où un navire peut accoster ou mouiller en toute sécurité.,03327211-1778-42a1-b988-61b63e421cb0
Abrogation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Suppression pour l'avenir d'un acte administratif ou d'une règle de droit.,40c59bee-9fa3-4f78-8ff3-b6d722616b53
Absence,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Situation d'une personne qui n'est plus présente à son domicile et qui ne donne plus de nouvelles.,8db05425-6f2a-4c83-886a-1bdfb4191803
Acceptation à concurrence de l’actif net,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Permet d'établir un inventaire fixant le montant des biens et des dettes du défunt. L'héritier ne sera pas tenu de payer les dettes dépassant la valeur des biens reçus.,b4c2123b-5bac-492a-be13-ce5ffbe2e9f9
Acceptation du principe de la rupture du mariage,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Les deux époux sont d'accord pour divorcer mais pas nécessairement sur l'ensemble des conséquences du divorce (ex. : résidence des enfants, montant de la contribution à l'entretien et à l'éducation des enfants, prestation compensatoire, ...) et/ou n'ont pas, le cas échéant, procédé à la liquidation de leur régime matrimonial.",f69f9014-dacd-41fd-93d7-8c472255da38
