id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium,lang-target-dict
a7714aec-7e41-4852-a905-82443caa2dab,Verdrag,nl-nl,Abkommen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
f1aa95ec-b781-4066-b04a-294b0a129d54,Koninkrijk der Nederlanden,nl-nl,Königreich der Niederlande,de-de,van Gassen,All rights reserved,TRUE,FALSE,
88a94486-c1da-4efb-a82b-fb00657c74f5,Bondsrepubliek Duitsland,nl-nl,Bundesrepublik Deutschland,de-de,van Gassen,All rights reserved,TRUE,FALSE,
a8d7d42a-4be5-4414-8ab3-5cd00be94c8c,dubbele belasting,nl-nl,Doppelbesteuerung,de-de,van Gassen,All rights reserved,TRUE,FALSE,
e4468445-400d-4376-951f-4e0abb7f8c99,ontgaan van belasting,nl-nl,Steuerverkürzung,de-de,van Gassen,All rights reserved,TRUE,FALSE,
64a7249e-5c96-489a-a4bb-e8c7f888cb31,belastingen naar het inkomen,nl-nl,Steuern vom Einkommen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
a04729ed-6626-42b9-a869-5e34ad7813d4,rechtspersoon,nl-nl,juristische Person,de-de,van Gassen,All rights reserved,TRUE,FALSE,
c4f63b2f-1482-45e4-beb9-0fc4deeb017d,plaats van de werkelijke leiding,nl-nl,Ort der tatsächlichen Geschäftsleitung,de-de,van Gassen,All rights reserved,TRUE,FALSE,
ef6011f9-61a6-4c25-863a-a207fc4b64c9,grensoverschrijdend bedrijventerrein,nl-nl,grenzüberschreitendes Gewerbegebiet,de-de,van Gassen,All rights reserved,TRUE,FALSE,
5955c8e8-6f94-40ad-a75e-8c9fd07ee8e5,gemeenschappelijke grens,nl-nl,gemeinsame Grenze,de-de,van Gassen,All rights reserved,TRUE,FALSE,
48a73fee-8acf-4a93-bd3d-1fc7288a412b,vaste bedrijfsinrichting,nl-nl,feste Geschäftseinrichtung,de-de,van Gassen,All rights reserved,TRUE,FALSE,
6d6c9251-2711-41df-b025-6850851f6ccf,verdragsluitende staten,nl-nl,Vertragsstaaten,de-de,van Gassen,All rights reserved,TRUE,FALSE,
0b81b505-0a4b-427a-b252-187cb1edafca,inwoner,nl-nl,ansässig,de-de,van Gassen,All rights reserved,TRUE,FALSE,
245550ab-0e68-4242-a763-441b0f2bb867,eenduidig vastgesteld,nl-nl,eindeutig bestimmt,de-de,van Gassen,All rights reserved,TRUE,FALSE,
69c8602b-c28a-4037-ad22-40336df856b2,het grootste deel van de gebruikte oppervlakte,nl-nl,größerer Teil der genutzten Fläche,de-de,van Gassen,All rights reserved,TRUE,FALSE,
dc51aeaf-723b-4749-9663-0cdd7a90eee3,gebouw,nl-nl,Gebäude,de-de,van Gassen,All rights reserved,TRUE,FALSE,
eb81d204-065a-4e39-832a-c5be897ccc9d,werkelijke leiding van de onderneming,nl-nl,tatsächliche Geschäftsleitung des Unternehmens,de-de,van Gassen,All rights reserved,TRUE,FALSE,
ad9815e7-750a-4c82-9051-0d62eebc1528,vloeroppervlak gebruikt door de onderneming,nl-nl,vom Unternehmen genutzte Fläche,de-de,van Gassen,All rights reserved,TRUE,FALSE,
e84ada61-b4b0-4a20-806a-3912a91ecc2b,recht tot belastingheffing,nl-nl,Besteuerungsrecht,de-de,van Gassen,All rights reserved,TRUE,FALSE,
54c4b697-dd49-4e8f-beb8-ca90badbbff2,voorbeelden,nl-nl,Beispielsfälle,de-de,van Gassen,All rights reserved,TRUE,FALSE,
e767c25c-c4c0-4be5-8cb4-6f33cf558f62,voorbeeld,nl-nl,Beispielsfall,de-de,van Gassen,All rights reserved,TRUE,FALSE,
0d7d4ea5-3646-452b-8450-d083cf5495e5,onderneming,nl-nl,Unternehmen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
9927423a-2301-42ea-9dfd-1424e17331bb,inkomsten van de onderneming,nl-nl,Gewinne des Unternehmens,de-de,van Gassen,All rights reserved,TRUE,FALSE,
6f2bab87-b047-45cb-bcc4-c868c768e554,economische betrekkingen,nl-nl,wirtschaftlichen Beziehungen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
ffa8d448-326c-4304-b295-1ef8d7f05062,samenwerking op het gebied van belastingzaken,nl-nl,Zusammenarbeit in Steuersachen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
00ae078b-6de3-4862-b132-e47f75bd6438,doeltreffende en juiste belastingheffing,nl-nl,wirksame und zutreffende Steuererhebung,de-de,van Gassen,All rights reserved,TRUE,FALSE,
32c08b55-779b-4222-b62b-b453f5010ae2,heffingsbevoegdheden,nl-nl,Besteuerungsrechte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
7a177894-2c71-4f28-be86-40a768999b31,vermijden van dubbele heffing,nl-nl,Vermeidung der Doppelbesteuerung,de-de,van Gassen,All rights reserved,TRUE,FALSE,
3d8c9861-37b2-4f77-95b6-0b6a7c8494c5,personen die inwoner zijn van een verdragsluitende staat,nl-nl,"Personen, die in einem Vertragsstaat ansässig sind",de-de,van Gassen,All rights reserved,TRUE,FALSE,
af627708-0e07-4df6-a466-27ba146fbba2,belastingen naar het gehele inkomen,nl-nl,"Steuern, die vom Gesamteinkommen erhoben werden",de-de,van Gassen,All rights reserved,TRUE,FALSE,
ff796634-d395-4545-a99b-e22745bcb9ae,roerende of onroerende zaken,nl-nl,beweglichen oder unbeweglichen Vermögens,de-de,van Gassen,All rights reserved,TRUE,FALSE,
46a39629-7ff6-4b9e-bc9e-055068d6dfc1,loonbelasting,nl-nl,Lohnsummensteuern,de-de,van Gassen,All rights reserved,TRUE,FALSE,
f751d1bd-f848-4ebd-a49a-402d99387fda,ondernemingsbelasting,nl-nl,Gewerbesteuer,de-de,van Gassen,All rights reserved,TRUE,FALSE,
4b934c10-1397-41f2-9409-6df04b1a1d52,mijnbouwwet,nl-nl,Bergbaugesetz,de-de,van Gassen,All rights reserved,TRUE,FALSE,
fc38dbea-bafc-4955-8417-53912f53bd57,bevoegde autoriteiten,nl-nl,zuständigen Behörden,de-de,van Gassen,All rights reserved,TRUE,FALSE,
1bd26e19-d5c6-46d5-af02-5096241d942a,wezenlijke wijzigingen,nl-nl,wesentlichen Änderungen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
268103b6-7fd9-44b1-994c-3470a95a0833,algemene begripsomschrijvingen,nl-nl,Allgemeine Begriffsbestimmungen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
0bde416d-62b3-41a6-91fb-6e090d98d7c7,verdragsluitende staat,nl-nl,Vertragsstaat,de-de,van Gassen,All rights reserved,TRUE,FALSE,
3e46f9fa-f81a-458c-b114-c44fd651fca4,Duitsland,nl-nl,Deutschland,de-de,van Gassen,All rights reserved,TRUE,FALSE,
851f87e6-82c3-44a2-b989-714ea2115443,Nederland,nl-nl,Niederlande,de-de,van Gassen,All rights reserved,TRUE,FALSE,
be794a9e-d1ac-48bc-8d56-deaccb53f932,persoon,nl-nl,Person,de-de,van Gassen,All rights reserved,TRUE,FALSE,
2d10e3cf-5497-4433-b28f-645dfaa9a1c2,lichaam,nl-nl,Gesellschaft,de-de,van Gassen,All rights reserved,TRUE,FALSE,
b7713e78-3748-4c0e-947f-d8342e532dd7,bedrijfsuitoefening,nl-nl,Geschäftstätigkeit,de-de,van Gassen,All rights reserved,TRUE,FALSE,
570b8fdf-fad5-40b2-bfe9-2691c6537632,internationaal verkeer,nl-nl,internationaler Verkehr,de-de,van Gassen,All rights reserved,TRUE,FALSE,
29f51de8-e63b-439d-b5d1-b6d010822a52,onderdaan,nl-nl,Staatsangehöriger,de-de,van Gassen,All rights reserved,TRUE,FALSE,
d5af5191-31d9-47f1-a5d7-181013e8b77c,bevoegde autoriteit,nl-nl,zuständige Behörde,de-de,van Gassen,All rights reserved,TRUE,FALSE,
1829b3f7-7423-44d8-8fdd-e6112e52969a,inwoner,nl-nl,ansässige Person,de-de,van Gassen,All rights reserved,TRUE,FALSE,
d3a85ab2-1af4-48b3-97cf-c30cd7b8c17f,duurzaam tehuis,nl-nl,ständige Wohnstätte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
ecf13ef6-0869-4a1b-af4f-2f1a5722b716,middelpunt van de levensbelangen,nl-nl,Mittelpunkt der Lebensinteressen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
2c87f0a8-3e12-4bb5-a18e-4b3d0ee4bba1,gewoonlijk verblijft,nl-nl,gewöhnlichen Aufenthalt,de-de,van Gassen,All rights reserved,TRUE,FALSE,
0e7ba505-59b7-465b-bdda-4c12bbf49f4b,vaste inrichting,nl-nl,Betriebsstätte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
