id,source,lang-source,target-de-de,lang-target-1,target-fr-fr,lang-target-2,author,license,sme-reviewed,premium
75cc054f-92eb-46ee-9e90-6886a26a2bcc,Ministerie van Algemene Zaken,nl-nl,Ministerium für allgemeine Angelegenheiten,de-de,Ministère des Affaires Générales,fr-fr,Rijksoverheid,CC0,True,False
c432a50a-868d-450f-b7f0-0012153a6912,Ministerie van Buitenlandse Zaken,nl-nl,Ministerium für auswärtige Angelegenheiten,de-de,Ministère des Affaires étrangères,fr-fr,Rijksoverheid,CC0,True,False
8473f38d-7973-4492-8089-aea3818a9905,Ministerie van Justitie en Veiligheid,nl-nl,Ministerium für Justiz und Sicherheit,de-de,Ministère de la Justice et de la Sécurité,fr-fr,Rijksoverheid,CC0,True,False
b3b031cf-8073-4d54-abd3-5549a8bffca1,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,nl-nl,Ministerium für Inneres und Königreichs­beziehungen,de-de,Ministère de l'Intérieur et des Relations au sein du Royaume,fr-fr,Rijksoverheid,CC0,True,False
a33e0c96-c76c-4cc7-9edc-f3fa25b58547,"Ministerie van Onderwijs, Cultuur en Wetenschap",nl-nl,"Ministerium für Bildung, Kultur und Wissenschaft",de-de,"Ministère de l'Éducation, de la Culture et des Sciences",fr-fr,Rijksoverheid,CC0,True,False
733e4c4a-e148-4911-90e1-fa92dc2c61da,Ministerie van Financiën,nl-nl,Ministerium der Finanzen,de-de,Ministère des Finances,fr-fr,Rijksoverheid,CC0,True,False
e752d395-625b-44a1-b628-91f50181637b,Ministerie van Defensie,nl-nl,Ministerium der Verteidigung,de-de,Ministère de la Défense,fr-fr,Rijksoverheid,CC0,True,False
8ce41caf-1c57-4e5b-8b14-d3d1009673cc,Ministerie van Infrastructuur en Waterstaat,nl-nl,Ministerium für Infrastruktur und Wasserwirtschaft,de-de,Ministère de l’Infrastructure et de la Gestion de l’eau,fr-fr,Rijksoverheid,CC0,True,False
793d93d2-f336-4ddf-9027-aa7b349bf73c,Ministerie van Economische Zaken,nl-nl,Ministerium für Wirtschaft,de-de,Ministère des Affaires économiques,fr-fr,Rijksoverheid,CC0,True,False
0ae856d0-217c-41e6-a11a-5fd78ac5a921,"Ministerie van Landbouw, Visserij, Voedselzekerheid en Natuur",nl-nl,"Ministerium für Landwirtschaft, Fischerei, Ernährungssicherheit und Natur",de-de,"Ministère de l'Agriculture, de la Pêche, de la Sécurité alimentaire et de la Nature",fr-fr,Rijksoverheid,CC0,True,False
55750516-4c83-48d7-b340-d5d4f356e50e,Ministerie van Sociale Zaken en Werkgelegenheid,nl-nl,Ministerium für Soziales und Arbeit,de-de,Ministère des Affaires Sociales et de l'Emploi,fr-fr,Rijksoverheid,CC0,True,False
41110061-61e6-43ee-a6c0-55cf14493b7b,"Ministerie van Volksgezondheid, Welzijn en Sport",nl-nl,"Ministerium für Gesundheit, Gemeinwohl und Sport",de-de,"Ministère de la Santé, du Bien-être et des Sports",fr-fr,Rijksoverheid,CC0,True,False
1c7bae5e-1e38-4894-a948-2661f34ea2c2,Ministerie van Asiel en Migratie,nl-nl,Ministerium für Asyl und Migration,de-de,Ministère de l’Asile et des Migrations,fr-fr,Rijksoverheid,CC0,True,False
d639f611-4bc2-4bef-aa4f-68a97eabc6d7,Ministerie van Klimaat en Groene Groei,nl-nl,Ministerium für Klima und grünes Wachstum,de-de,Ministère du Climat et de la Croissance verte,fr-fr,Rijksoverheid,CC0,True,False
2a3518ce-e08c-4cf4-b73e-7faadc7f67e5,Ministerie van Volkshuisvesting en Ruimtelijke Ordening,nl-nl,Ministerium für Wohnungswesen und Raumordnung,de-de,Ministère du Logement et de l’Aménagement du territoire,fr-fr,Rijksoverheid,CC0,True,False
71420e3c-fd45-4c33-803e-371c2877fb42,Minister-president,nl-nl,Ministerpräsident,de-de,Premier ministre,fr-fr,Rijksoverheid,CC0,True,False
2abe9541-f81a-49d2-af1b-89859fbe7c27,Minister voor Asiel en Migratie,nl-nl,Ministerin für Asyl und Migration,de-de,Ministre déléguée à l’Asile et aux Migrations,fr-fr,Rijksoverheid,CC0,True,False
