id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium,lang-target-dict
c13f7f11-203e-43b5-9ad4-db738f005b09,(compenserende) herstelmaatregelen,nl-nl,(compensatory) restoration measures,en-gb,Dutch Ministry of Finance,CC0,True,False,
22743cf8-36ba-4e97-a822-09f08f1fc723,(financiële) tegemoetkoming,nl-nl,financial compensation,en-gb,Dutch Ministry of Finance,CC0,True,False,
63f58e14-b880-4269-a9f6-37c7e2b40954,Algemene Verordening Gegevensbescherming (AVG),nl-nl,General Data Protection Regulation (GDPR),en-gb,Dutch Ministry of Finance,CC0,True,False,
c0830dcf-7d30-4bba-935c-5f79593040a8,Belastingdienst,nl-nl,Dutch Tax and Customs Administration,en-gb,Dutch Ministry of Finance,CC0,True,False,
b97236b9-70fa-4955-a2a3-d28dcea966b2,beroep,nl-nl,appeal,en-gb,Dutch Ministry of Finance,CC0,True,False,
f16674fa-5f31-40df-be9c-28077ab1db82,beschikking,nl-nl,decision,en-gb,Dutch Ministry of Finance,CC0,True,False,
b45b2608-c4a5-4f29-9473-24584d8ff8a6,betalingsregeling,nl-nl,payment arrangement,en-gb,Dutch Ministry of Finance,CC0,True,False,
0282a0e3-e76d-44a7-b4fd-1d8770d900e0,bezwaar,nl-nl,objection,en-gb,Dutch Ministry of Finance,CC0,True,False,
59daf219-8806-4efd-b823-ebc9cce50977,Bezwaarschiftenadviescommissie,nl-nl,Advisory Committee Regarding Objections,en-gb,Dutch Ministry of Finance,CC0,True,False,
6e77aec8-bf19-4f48-be13-066bbc123a37,buitenlandse kinderopvang,nl-nl,foreign childcare (centre),en-gb,Dutch Ministry of Finance,CC0,True,False,
722fe968-69c6-4a03-9e88-f1d12d066dac,Catshuisregeling Kinderopvangtoeslag,nl-nl,Catshuis Childcare Benefit Scheme,en-gb,Dutch Ministry of Finance,CC0,True,False,
4f42f501-ab56-44c5-9d64-5d26f1fcad81,Commissie van Wijzen,nl-nl,Committee of Experts,en-gb,Dutch Ministry of Finance,CC0,True,False,
e380cc06-9e16-40b5-bdd6-e9cc29b5a2ac,Commissie Werkelijke Schade,nl-nl,Committee on Actual Damages,en-gb,Dutch Ministry of Finance,CC0,True,False,
c4f12365-f853-4544-aeb2-5a5b442dc2c8,compensatie,nl-nl,compensation,en-gb,Dutch Ministry of Finance,CC0,True,False,
a2e66ff0-9132-46bd-a18f-15b531b4a736,compensatierente,nl-nl,compensatory interest,en-gb,Dutch Ministry of Finance,CC0,True,False,
cb23865b-dc9a-48e9-91b6-ef24851fdbd4,definitieve beschikking,nl-nl,final decision,en-gb,Dutch Ministry of Finance,CC0,True,False,
643e2e01-b29d-4a0a-add8-a2cfa94692e9,dossier,nl-nl,personal case file,en-gb,Dutch Ministry of Finance,CC0,True,False,
335095f4-0fa6-4f10-bd65-dc1d8e652e3d,eerste toets,nl-nl,first assessment,en-gb,Dutch Ministry of Finance,CC0,True,False,
7295f1de-55ab-4149-b6fc-7fd37b0ea3de,gastouder,nl-nl,childminder,en-gb,Dutch Ministry of Finance,CC0,True,False,
b5da5181-89ad-4ff0-8a99-d4ab7856618b,gastouderbureau,nl-nl,childminding services,en-gb,Dutch Ministry of Finance,CC0,True,False,
8ad9eb73-a756-4d7e-9e4f-d35728f7eabc,gedupeerde ouders,nl-nl,affected parents,en-gb,Dutch Ministry of Finance,CC0,True,False,
5beaa78f-e583-4413-9628-59a3627cb8cf,gemeente,nl-nl,municipality,en-gb,Dutch Ministry of Finance,CC0,True,False,
6bfe8e41-4c0e-407e-9cfe-11a7705849bf,herbeoordeling,nl-nl,reassessment,en-gb,Dutch Ministry of Finance,CC0,True,False,
3fa8fea0-27b6-4453-8480-4a900e0476d4,herstelproces,nl-nl,restore process,en-gb,Dutch Ministry of Finance,CC0,True,False,
fe6bc68d-8dd5-4ad6-b1c3-bf8184644d5b,huurtoeslag,nl-nl,rent benefit,en-gb,Dutch Ministry of Finance,CC0,True,False,
50f2a8f6-535f-45d0-93ab-9a6e27238629,in gebreke stellen,nl-nl,declare in default,en-gb,Dutch Ministry of Finance,CC0,True,False,
057cbed6-a30d-4e33-8194-72551a3a5be0,integrale beoordeling,nl-nl,integrated assessment,en-gb,Dutch Ministry of Finance,CC0,True,False,
ad90e952-7a1c-48c7-9bb3-6d38c6345c66,kinderopvang,nl-nl,"childcare centre, childminding agency",en-gb,Dutch Ministry of Finance,CC0,True,False,
0d7bcf31-ada2-4fec-a5f3-aa856b23147d,kindgebonden budget,nl-nl,supplementary child benefit,en-gb,Dutch Ministry of Finance,CC0,True,False,
77b43486-c303-42b1-b6d3-ad9a0314e6ef,kinderopvangtoeslag,nl-nl,childcare benefit,en-gb,Dutch Ministry of Finance,CC0,True,False,
