dictionary_term_id,term_nl_nl,language_source,term_en_gb,language_target,translator_name,translation_date,usage_license,expert_reviewed,premium_content,external_dictionary_reference,term_category,legal_domain,tmx_source_file,tmx_tuid,source_project,source_filename
091eb79e-4da6-45ba-a04d-466b5049b4ea,aanbrengen (een geschil bij de rechter),nl-nl,to seise the court of a dispute,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000003,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
fbc17015-0488-4dc6-9dc9-4b9a7efd8608,aangewezen rechter,nl-nl,designated court / judge,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000006,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
ee5eab21-3733-421d-a92d-ef327d8351c3,aanhangig,nl-nl,pending,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000009,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
5e26f5fc-2da2-40b3-b895-60f1f22fbebc,(dag waarop) aanhangig is gemaakt,nl-nl,(day on which) the case is made pending,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000012,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
263e4ca8-6f05-4714-a331-d5c7b98edcb0,aanhef (van een wetsartikel),nl-nl,introductory words (to an article),en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000015,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
e0004caf-56e1-435e-b72d-df5b5602834d,aan het oordeel van de rechter overgelaten,nl-nl,within the court’s discretion,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000018,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
e510f966-4618-4849-8d7b-e71ca6db92d3,aanhouding / aanhouden,nl-nl,stay / to stay,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000021,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
7e611ae3-21a5-4735-ba08-21762b5d45ec,aannemelijk maken,nl-nl,show that it is likely that …,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000024,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
13cf1a65-7a24-4785-88b3-b16038565c27,aanstonds,nl-nl,"forthwith, right away",en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000027,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
bd11fe18-488e-4309-ba6c-d1591b4fc2e5,aanvullend vonnis,nl-nl,additional judgment,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000030,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
86f8f86f-71de-4c1f-8466-91f12d5f8db0,aanvulling van een vonnis,nl-nl,to give an additional judgment,en-gb,Burrough/Machon/Oranje/Frakes/Visser,2025-02-25,All rights reserved,yes,no,,civil_procedure_term,civil_procedure,Glossary_Dutch_Code_of_Civil_Procedure.tmx,0000033,NCC glossary manager - NCC glossary manager.dvprj,Glossary NL.docx
