id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium
95378866-d588-495d-8517-54d7fde33d2f,Ministerie van Algemene Zaken,nl-nl,Ministerio de Asuntos Generales,es-es,Rijksoverheid,CC0,True,False
1d8ff7cc-8b69-4d4c-8511-e71813c3930d,Ministerie van Buitenlandse Zaken,nl-nl,Ministerio de Asuntos Exteriores,es-es,Rijksoverheid,CC0,True,False
f95b90d8-2ee2-4939-92da-9f3bcae545fa,Ministerie van Justitie en Veiligheid,nl-nl,Ministerio de Justicia y Seguridad,es-es,Rijksoverheid,CC0,True,False
ced1c614-2cc5-41b3-9aa6-89761f72c0a0,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,nl-nl,Ministerio del Interior y de Relaciones del Reino,es-es,Rijksoverheid,CC0,True,False
160e463a-3cdd-4f0a-8eb7-43de8e27539b,"Ministerie van Onderwijs, Cultuur en Wetenschap",nl-nl,"Ministerio de Educación, Cultura y Ciencia",es-es,Rijksoverheid,CC0,True,False
a7a149b2-750c-40bb-bb13-4d924187a310,Ministerie van Financiën,nl-nl,Ministerio de Hacienda,es-es,Rijksoverheid,CC0,True,False
4dbc1211-8600-4aea-975b-ea95074dc10a,Ministerie van Defensie,nl-nl,Ministerio de Defensa,es-es,Rijksoverheid,CC0,True,False
f0a14801-06be-4ce1-a3fe-fe8e562470d6,Ministerie van Infrastructuur en Waterstaat,nl-nl,Ministerio de Infraestructura y Gestión del Agua,es-es,Rijksoverheid,CC0,True,False
ae186aac-9c5d-47b5-9256-6ef2700efb10,Ministerie van Economische Zaken,nl-nl,Ministerio de Economía,es-es,Rijksoverheid,CC0,True,False
4d2cc122-5e56-4b3d-ae5d-df76fd85331f,"Ministerie van Landbouw, Visserij, Voedselzekerheid en Natuur",nl-nl,"Ministerio de Agricultura, Pesca, Seguridad Alimentaria y Naturaleza",es-es,Rijksoverheid,CC0,True,False
f5ab56ba-d57d-49f3-9688-25c3f99034b6,Ministerie van Sociale Zaken en Werkgelegenheid,nl-nl,Ministerio de Asuntos Sociales y Empleo,es-es,Rijksoverheid,CC0,True,False
fe64327e-2b1e-4d2a-8d5b-c25177940863,"Ministerie van Volksgezondheid, Welzijn en Sport",nl-nl,"Ministerio de Sanidad, Bienestar y Deportes",es-es,Rijksoverheid,CC0,True,False
d92d4389-6d76-423a-9155-8c5a073fd941,Ministerie van Asiel en Migratie,nl-nl,Ministerio de Asilo y Migración,es-es,Rijksoverheid,CC0,True,False
7e756d26-9390-419e-b4a4-1a4fa22dec80,Ministerie van Klimaat en Groene Groei,nl-nl,Ministerio de Clima y Crecimiento Verde,es-es,Rijksoverheid,CC0,True,False
80dc7683-cdb4-4ac0-abd3-e243077ab446,Ministerie van Volkshuisvesting en Ruimtelijke Ordening,nl-nl,Ministerio de Vivienda y Urbanismo,es-es,Rijksoverheid,CC0,True,False
afd63a1a-6052-4fdf-ada9-9a1e34afc0ba,Minister-president,nl-nl,Primer ministro,es-es,Rijksoverheid,CC0,True,False
6cf6e672-3165-4b1f-8032-a21f286718e1,Minister voor Asiel en Migratie,nl-nl,Ministra para Asilo y Migracion,es-es,Rijksoverheid,CC0,True,False
