term_id,term_nl_nl,language_source,term_fr_fr,language_target,term_type,legal_reference,source_file,bwb_id,extraction_date,legal_domain
8b64a96a-a9ff-4bdb-8f48-2446a06f05e5,Reikwijdte van de Overeenkomst,nl-nl,Champ d'application de la Convention,fr-fr,chapter_title,HOOFDSTUK I,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
7a745bc8-27ac-4d31-b666-d28e36919d78,Personen op wie de Overeenkomst van toepassing is,nl-nl,Personnes visées,fr-fr,article_title,Artikel 1,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
fdb0e811-4ac0-4884-ada6-18018c7c8093,Belastingen waarop de Overeenkomst van toepassing is,nl-nl,Impôts visés,fr-fr,article_title,Artikel 2,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
0f2c9d3f-6ada-47aa-9f28-b1cc7cccc768,Algemene begripsbepalingen,nl-nl,Définitions générales,fr-fr,article_title,Artikel 3,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
c6e40c5b-a83f-49ac-8b40-32e3c24360a2,Fiscale woonplaats,nl-nl,Domicile fiscal,fr-fr,article_title,Artikel 4,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e8eaa131-af44-40c8-9457-b20a81a4da28,Vaste inrichting,nl-nl,Etablissement stable,fr-fr,article_title,Artikel 5,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
c7d8a963-7f3f-478a-bb1f-5374a04bd00a,Inkomsten uit onroerende goederen,nl-nl,Revenus immobiliers,fr-fr,article_title,Artikel 6,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
958c588b-f743-4540-87ee-ea0de543839a,Winst uit onderneming,nl-nl,Bénéfices des entreprises,fr-fr,article_title,Artikel 7,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
54033aa8-65b9-4d74-a484-c44327ea20ba,"Zeevaart, binnenvaart en luchtvaart",nl-nl,"Navigation maritime, intérieure et aérienne",fr-fr,article_title,Artikel 8,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
45d54c57-79a9-4710-9931-a64059422b4b,Gelieerde ondernemingen,nl-nl,Entreprises associées,fr-fr,article_title,Artikel 9,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
d79acd7f-f251-40f5-9981-e2e1b753e0b2,Dividenden,nl-nl,Dividendes,fr-fr,article_title,Artikel 10,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
