example_id,sentence_nl_nl,sentence_en_gb,legal_source_id,book_identifier,article_number,article_title_nl_nl,article_title_en_gb,translation_date,tmx_source_file,tmx_tuid
438ae9a3-ea0c-4f24-b4f3-cc3bb2419482,Wetboek van Burgerlijke Rechtsvordering,Code of Civil Procedure,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000002
2f04dd57-9459-45c4-a9c3-fa84b0fb5b0a,Geldend van 01-01-2025 t/m heden,Effective as of 1 January 2025,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000007
8f5e0e38-c147-4f91-8216-0ea0b3ebc3da,Wetboek van Burgerlijke Rechtsvordering,Code of Civil Procedure,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000012
02cd18b5-18f3-4ac3-a94f-53cc01fe6925,"EERSTE BOEK. DE WIJZE VAN PROCEDEREN VOOR DE RECHTBANKEN, DE HOVEN EN DE HOGE RAAD","BOOK 1 - PROCEDURE IN THE DISTRICT COURTS, COURTS OF APPEAL AND THE SUPREME COURT",nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000015
72b7286b-aa27-4bdd-876d-a76888443af3,EERSTE TITEL. ALGEMENE BEPALINGEN,TITLE 1 - GENERAL PROVISIONS,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000018
1df19c71-518f-40b5-9b23-958ccfee1108,EERSTE AFDELING. RECHTSMACHT VAN DE NEDERLANDSE RECHTER,SECTION 1 - INTERNATIONAL JURISDICTION OF THE DUTCH COURTS,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000021
9d2f099a-988e-4aa4-9c30-cef1e1efaf2a,Artikel 1,Article 1,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000025
d0ac0bd3-19e5-4445-822c-8d21924763f8,Onverminderd het omtrent rechtsmacht in verdragen en EG-verordeningen bepaalde en onverminderd artikel 13a van de Wet algemene bepalingen wordt de rechtsmacht van de Nederlandse rechter beheerst door de volgende bepalingen.,Without prejudice to the provisions on international jurisdiction in treaties and EC regulations and without prejudice to Article 13a of the General Provisions Act (,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000028
eb2f0f5c-b4aa-442c-96a4-06d91f973684,Artikel 2,Article 2,nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000032
569b2f16-45eb-4a00-8326-11392d6c7465,"In zaken die bij dagvaarding moeten worden ingeleid, heeft de Nederlandse rechter rechtsmacht indien de gedaagde in Nederland zijn woonplaats of gewone verblijfplaats heeft.","In cases that must be initiated by writ of summons, the Dutch courts have international jurisdiction where the defendant has its domicile or habitual residence in the Netherlands.",nl-nl_civil-procedure-code-2025,book-1,,,,2025-02-11,Dutch_Code_of_Civil_Procecudre_Book_1.tmx,0000035
