example_id,sentence_nl_nl,sentence_en_gb,legal_source_id,book_identifier,article_number,article_title_nl_nl,article_title_en_gb,translation_date,tmx_source_file,tmx_tuid
8d69bc57-6485-4775-afc2-279785c9cc19,"TWEEDE BOEK. VAN DE GERECHTELIJKE TENUITVOERLEGGING VAN VONNISSEN, BESCHIKKINGEN EN AUTHENTIEKE AKTEN","BOOK 2 - ENFORCEMENT OF JUDGMENTS, DECISIONS AND AUTHENTIC INSTRUMENTS",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,1
4a7536ff-ca19-40b2-a56c-9bb406aa4676,EERSTE TITEL. ALGEMENE REGELS,TITLE 1 - GENERAL PROVISIONS,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,2
d1e95c27-9cc0-4f79-bfff-4c8c733a1370,Artikel 430,Article 430,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,3
fe028dec-7935-4d2c-92c1-9a54d1908bbc,1.,1.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,4
b3c40a40-51cd-4fab-98ad-64baecb5e4bb,"De grossen van in Nederland gewezen vonnissen, van beschikkingen van de Nederlandse rechter en van in Nederland verleden authentieke akten alsmede van andere bij de wet als executoriale titel aangewezen stukken kunnen in geheel Nederland worden ten uitvoer gelegd.","Judgments given by Dutch courts and issued in the form required for enforcement in the Netherlands, authentic instruments issued in the Netherlands and other documents the law designates as an execution title may be enforced throughout the Netherlands.",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,5
e4354dfc-a7e2-4e4e-8515-10fc63487f02,2.,2.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,6
3c574ea7-3179-4de1-95ff-e32f7d09ad70,Zij moeten aan het hoofd voeren de woorden:,They must be headed with the words:,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,7
c341022a-9e53-4965-87d6-4c4105f2ff1f,In naam van de Koning.,In the name of the King.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,8
d51571a9-c336-4377-b29c-a1afab665023,3.,3.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,9
e2eb4f31-53bd-43e2-8502-7cb3086c34c8,Zij kunnen niet worden ten uitvoer gelegd dan na betekening aan de partij tegen wie de executie zich zal richten.,They may be enforced only after service on the party against whom the enforcement is sought.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,10
8c5543aa-9b7f-470a-9bba-9a16c27cc8f0,Artikel 431,Article 431,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,11
10c36664-62ed-4d89-87aa-45a18a2c0e55,1.,1.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,12
275ee3dd-74ae-448a-9594-ed5da6eff11a,"Behoudens het bepaalde in de artikelen 985-994, kunnen noch beslissingen, door vreemde rechters gegeven, noch buiten Nederland verleden authentieke akten binnen Nederland ten uitvoer worden gelegd.","Except as provided in Articles 985 to 994 inclusive, judgments given by a foreign court and authentic instruments drawn up outside the Netherlands are not enforceable in the Netherlands.",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,13
34134eca-5c1a-421b-9818-1940cc15def2,2.,2.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,14
2d2442a9-8764-4906-bf2c-0b99b03c4770,De gedingen kunnen opnieuw bij de Nederlandse rechter worden behandeld en afgedaan.,The cases may be re-heard and disposed of in the Dutch courts.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,15
64536a77-55bd-44b8-8f2a-a46b47edddaf,Artikel 431a,Article 431a,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,16
8519bfcf-ccee-4239-975b-e350f4de80c9,"Indien de bevoegdheid tot tenuitvoerlegging van een executoriale titel op een ander overgaat, kan de executie eerst worden aangevangen of voortgezet na betekening van deze overgang aan de geëxecuteerde.","Where the right to enforce an execution title transfers to another person, enforcement may not commence or move forward until the enforcee has been notified of this assignment by writ.",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,17
3a2d7d64-7cba-4fb1-91c4-f523cc4fb867,"Indien de rechtsopvolger bij wet is bepaald of door een fusie als bedoeld in artikel 309 of een splitsing als bedoeld in artikel 334a van Boek 2 van het Burgerlijk Wetboek vaststaat, kan worden volstaan met het schriftelijk mededelen van de overgang van de bevoegdheid tot tenuitvoerlegging aan de geëxecuteerde mits deze hierdoor niet in zijn belang wordt geschaad.","Where the legal successor is determined in a statutory provision or is established as a result of a merger as referred to in Article 309 or a division as referred to in Article 2:334a of the Civil Code, it is sufficient to provide a written notice to the enforcee of the transfer of authority to enforce, provided this does not harm this party's interests.",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,18
b11b6631-d9e5-4024-9e5f-7f2069522719,Artikel 432,Article 432,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,19
3c6bbd81-7765-4661-bcc6-99c07d8956fa,"Geen vonnis waarvan de voorlopige tenuitvoerlegging niet is toegestaan kan tegen een derde worden ten uitvoer gelegd, noch kan daaraan door die derde worden voldaan, dan acht dagen na betekening daarvan aan de partij die in het ongelijk is gesteld, en met overlegging van een verklaring van de griffier dat er op zijn registers geen verzet, hoger beroep of cassatie daartegen is aangetekend.","A judgment that has not been declared enforceable notwithstanding any remedy may not be enforced against a third party, and this third party may not satisfy the judgment, unless eight days have elapsed after the judgment was served on the unsuccessful party and a statement by the clerk is provided to the effect that no opposition, appeal or Supreme Court appeal has been entered in the clerk's registers.",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,20
de24a566-2c55-4847-b3c4-969c80b37265,Artikel 433,Article 433,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,21
24f932f7-e3bd-4a44-830c-e3fdc646c456,"De partij die verzet heeft gedaan, of hoger beroep of beroep in cassatie heeft ingesteld, heeft de bevoegdheid om daarvan ter griffie van het gerecht dat het bestreden vonnis heeft uitgesproken, in een daartoe bestemd register aantekening te doen houden, met vermelding van de namen van de partijen, de dagtekening van het vonnis en die van het verzet, het hoger beroep of het beroep in cassatie.","The party that opposes a judgment or initiates an appeal or a Supreme Court appeal is entitled to request the clerk of the court that gave the contested judgment to make an entry in a dedicated register stating the names of the parties, the date of the judgment and the date of the opposition, appeal or Supreme Court appeal.",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,22
4e76cc46-1875-46bc-b4d7-2e371049d99f,Artikel 434,Article 434,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,23
46ae5d06-7e57-467e-9c68-c36e24558f95,"De overhandiging van de executoriale titel, waarvan men de uitvoering verlangt, aan de deurwaarder, machtigt hem in die zaak tot het doen van de gehele executie, uit die titel voortvloeiende, met uitzondering alleen van die bij lijfsdwang, waartoe een bijzondere volmacht vereist wordt.","Delivery of the execution title to a bailiff for the purpose of enforcement authorises the bailiff to carry out the totality of enforcement resulting from that title, with the exception only of physical detention, for which a special authorisation is required.",nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,24
4764eba3-e1b0-4a61-8053-5827f073a552,Artikel 434a,Article 434a,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,25
179ed848-4fe0-4b7e-9994-d9c603057b1a,"Kosten terzake van ambtshandelingen, verricht door gerechtsdeurwaarders, worden voor de bepaling van de kosten van tenuitvoerlegging in aanmerking genomen overeenkomstig bij of krachtens algemene maatregel van bestuur vastgestelde tarieven.",Costs relating to official acts performed by bailiffs are included in the determination of the enforcement costs in accordance with the rates stated in or pursuant to an executive decree.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,26
b8475f1a-ca97-44ec-a1c8-eaf9f68da613,Artikel 435,Article 435,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,27
c0ab69ed-a216-480f-815c-cc46f2b9434c,1.,1.,nl-nl_civil-procedure-code-2025,book-2-3,,,,,Dutch_Code_of_Civil_Procecudre_Book_2_and_3.tmx,28
